attack_techniques_id,engage_activity_id
T1113,EAC0012
T1113,EAC0011
T1113,EAC0012
T1113,EAC0015
T1113,EAC0017
T1114,EAC0015
T1114,EAC0009
T1114,EAC0011
T1114,EAC0008
T1114,EAC0009
T1114,EAC0005
T1114,EAC0009
T1115,EAC0015
T1115,EAC0011
T1115,EAC0015
T1115,EAC0015
T1119,EAC0011
T1119,EAC0012
T1119,EAC0009
T1119,EAC0014
T1119,EAC0015
T1119,EAC0016
T1119,EAC0005
T1120,EAC0010
T1120,EAC0011
T1120,EAC0010
T1120,EAC0010
T1120,EAC0014
T1120,EAC0022
T1123,EAC0015
T1123,EAC0011
T1123,EAC0015
T1123,EAC0017
T1123,EAC0010
T1123,EAC0016
T1123,EAC0005
T1124,EAC0015
T1124,EAC0011
T1124,EAC0015
T1124,EAC0014
T1125,EAC0015
T1125,EAC0011
T1125,EAC0015
T1125,EAC0017
T1125,EAC0010
T1125,EAC0012
T1125,EAC0016
T1125,EAC0005
T1129,EAC0014
T1132,EAC0001
T1132,EAC0015
T1132,EAC0002
T1132,EAC0016
T1132,EAC0004
T1132,EAC0005
T1133,EAC0005
T1133,EAC0008
T1133,EAC0011
T1133,EAC0003
T1133,EAC0005
T1133,EAC0005
T1133,EAC0005
T1133,EAC0007
T1134,EAC0014
T1134,EAC0001
T1134,EAC0018
T1135,EAC0005
T1135,EAC0015
T1135,EAC0011
T1135,EAC0005
T1135,EAC0015
T1135,EAC0014
T1135,EAC0018
T1135,EAC0007
T1135,EAC0016
T1135,EAC0010
T1136,EAC0019
T1136,EAC0018
T1136,EAC0018
T1136,EAC0003
T1137,EAC0003
T1137,EAC0019
T1137,EAC0005
T1137,EAC0006
T1140,EAC0014
T1176,EAC0005
T1176,EAC0019
T1176,EAC0005
T1176,EAC0005
T1176,EAC0022
T1185,EAC0005
T1185,EAC0011
T1185,EAC0005
T1185,EAC0008
T1187,EAC0005
T1187,EAC0005
T1187,EAC0016
T1187,EAC0018
T1189,EAC0005
T1189,EAC0005
T1189,EAC0005
T1190,EAC0005
T1190,EAC0005
T1190,EAC0006
T1195,EAC0021
T1195,EAC0020
T1197,EAC0018
T1197,EAC0014
T1197,EAC0018
T1199,EAC0005
T1199,EAC0005
T1199,EAC0018
T1199,EAC0012
T1200,EAC0020
T1200,EAC0018
T1200,EAC0016
T1201,EAC0015
T1201,EAC0015
T1201,EAC0014
T1202,EAC0001
T1202,EAC0014
T1203,EAC0005
T1203,EAC0018
T1203,EAC0018
T1203,EAC0006
T1204,EAC0013
T1204,EAC0021
